Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
CuBr	L7	0.05	K2CO3	2	ACN	1	80	1.5	26.63	37.14	9	EI
CuCl	L10	0.1	K2CO3	2	DMSO	1	80	1.1	53.35	76.41	10	EI
CuBr	L10	0.1	TBAO	2	DMSO	0.5	80	1.5	22.88	89.09	10	EI
CuBr	L9	0.1	K2CO3	2	DMSO	1	80	1.5	60.61	97.51	10	EI
Cu(OAc)2	L10	0.1	K2CO3	2	EtOH	1	80	1.5	77.58	94.23	10	EI
CuI	L7	0.1	K3PO4	2	DMSO	0.5	80	1.5	71.21	98.66	10	EI
CuBr	L7	0.1	KOH	2	DMSO	1	80	1.5	5.62	100.00	10	EI
CuBr	L10	0.1	K3PO4	2	DMSO	1	80	1.5	82.58	100.00	10	EI
CuBr	L10	0.1	K2CO3	2	EtOH	0.5	80	1.1	67.38	94.37	10	EI
Cu(OAc)2	L5	0.05	Cs2CO3	2	PhMe	0.5	60	1.5	0	06.01	0	UCB
Cu(OAc)2	L8	0.05	Cs2CO3	2	PhMe	1	80	1.1	0	2.52	0	UCB
Cu(OAc)2	L10	0.05	Et3N	1	EtOH	0.5	60	1.1	0	11.24	0	UCB
Cu2O	L3	0.1	TBAO	2	EtOH	1	80	1.5	20.63	74.42	0	UCB
CuBr	L5	0.1	NaOtBu	0.5	PhMe	1	60	1.1	0	34.35	0	UCB
Cu2O	L5	0.1	Et3N	1	2Me-THF	1	80	1.1	4.61	16.06	0	UCB
CuCl	L1	0.05	Cs2CO3	1	2Me-THF	1	60	1.1	0	16.97	0	UCB
Cu2O	L9	0.1	NaOtBu	2	2Me-THF	1	60	1.5	0	63.52	0	UCB
Cu2O	L3	0.1	TBAO	2	EtOH	0.5	80	1.5	23.35	82.32	1	UCB
Cu2O	L3	0.1	TBAO	2	2Me-THF	1	80	1.1	19.58	42.26	1	UCB
CuCl	L3	0.05	TBAO	0.5	ACN	0.5	80	1.5	10.88	27.43	1	UCB
Cu2O	L6	0.1	K3PO4	2	EtOH	0.5	60	1.5	1.25	75.94	1	UCB
Cu2O	L4	0.05	KOH	1	EtOH	0.5	60	1.1	0.00	86.28	1	UCB
Cu(OAc)2	L11	0.1	K3PO4	1	PhMe	0.5	60	1.1	0.74	9.38	1	UCB
CuBr	L12	0.05	NaOAc	0.5	PhMe	1	60	1.1	1.80	8.40	1	UCB
CuI	L1	0.05	Et3N	2	2Me-THF	0.5	80	1.5	0.63	6.27	1	UCB
Cu2O	L3	0.1	TBAO	2	EtOH	0.5	80	1.1	16.35	83.18	2	UCB
CuI	L3	0.05	TBAO	2	EtOH	0.5	80	1.1	15.57	48.52	2	UCB
CuBr	L7	0.1	KOH	0.5	EtOH	0.5	80	1.1	25.23	54.80	2	UCB
Cu(OAc)2	L12	0.05	NaOAc	1	iBuOH	1	60	1.5	5.3	14.66	2	UCB
Cu(OAc)2	L6	0.05	Et3N	0.5	EtOH	1	80	1.1	10.76	28.50	2	UCB
Cu2O	L5	0.1	NaOAc	2	2Me-THF	0.5	80	1.5	4.29	12.07	2	UCB
Cu2O	L6	0.1	K2CO3	1	EtOH	0.5	60	1.1	2.95	23.38	2	UCB
CuCl	L4	0.1	NaOAc	1	2Me-THF	0.5	60	1.5	0.39	6.15	2	UCB
Cu2O	L3	0.1	KOH	0.5	EtOH	1	80	1.5	8.82	87.22	3	UCB
CuBr	L3	0.05	TBAO	0.5	EtOH	1	80	1.1	25.04	64.75	3	UCB
CuBr	L9	0.1	K2CO3	0.5	iBuOH	1	80	1.5	45.27	75.70	3	UCB
Cu2O	L8	0.1	TBAO	1	2Me-THF	1	60	1.5	29.29	98.49	3	UCB
Cu2O	L11	0.05	K2CO3	1	DMSO	0.5	80	1.1	54.48	96.40	3	UCB
CuBr	L8	0.05	Cs2CO3	1	2Me-THF	1	60	1.5	10.18	15.09	3	UCB
CuI	L7	0.1	NaOtBu	2	ACN	1	60	1.5	4.5	85.65	3	UCB
CuI	L1	0.1	KOH	2	ACN	1	80	1.1	5.91	95.68	3	UCB
Cu2O	L11	0.05	K2CO3	0.5	DMSO	0.5	80	1.1	39.26	60.69	4	UCB
CuBr	L10	0.1	K2CO3	0.5	DMSO	1	80	1.1	25.49	31.25	4	UCB
CuBr	L12	0.1	K3PO4	2	DMSO	0.5	80	1.1	55.82	80.46	4	UCB
CuCl	L6	0.05	K3PO4	0.5	2Me-THF	0.5	80	1.5	9.11	1.95	4	UCB
Cu(OAc)2	L6	0.05	KOH	1	EtOH	1	60	1.1	26.67	74.67	4	UCB
CuCl	L11	0.05	NaOtBu	1	EtOH	1	60	1.1	26.70	88.25	4	UCB
Cu2O	L3	0.05	KOH	2	EtOH	0.5	60	1.5	32.34	100.00	4	UCB
CuI	L2	0.05	Cs2CO3	0.5	ACN	1	80	1.1	6.56	33.84	4	UCB
CuBr	L12	0.1	K2CO3	2	DMSO	0.5	80	1.1	66.90	69.89	5	UCB
CuBr	L9	0.1	K3PO4	1	DMSO	0.5	80	1.1	48.73	84.87	5	UCB
Cu2O	L12	0.05	K2CO3	2	iBuOH	0.5	80	1.5	47.50	60.66	5	UCB
Cu2O	L5	0.05	K3PO4	1	ACN	1	80	1.5	7.33	21.98	5	UCB
CuBr	L5	0.1	K2CO3	0.5	2Me-THF	1	60	1.5	23.59	56.79	5	UCB
Cu2O	L10	0.05	KOH	2	ACN	0.5	60	1.1	2.90	56.73	5	UCB
CuI	L9	0.1	K3PO4	1	DMSO	0.5	60	1.1	56.48	80.62	5	UCB
Cu2O	L7	0.1	K3PO4	1	DMSO	0.5	80	1.5	42.81	57.96	5	UCB
Cu2O	L12	0.1	K2CO3	2	DMSO	1	80	1.5	78.18	98.86	6	UCB
